index,port,latitude,longitude,size,distance,polygon
0,Zea marina,37.9344444444444,23.6486111111111,Small,0,"POLYGON ((23.649 37.927, 23.648 37.928, 23.647 37.932, 23.646 37.937, 23.647 37.938, 23.648 37.939, 23.649 37.939, 23.65 37.938, 23.653 37.934, 23.653 37.929, 23.649 37.927))"
1,Port of Kalymnos,36.9483333333333,26.9883333333333,Small,0,"POLYGON ((26.989 36.945, 26.987 36.948, 26.992 36.95, 26.989 36.945))"
4,Port of Igoumenitsa,39.4983333333333,20.2608333333333,Small,0.000647150228932,"POLYGON ((20.25 39.487, 20.25 39.488, 20.256 39.494, 20.26 39.497, 20.263 39.499, 20.263 39.498, 20.256 39.489, 20.25 39.487))"
5,Port of Souda,35.4930555555556,24.0780555555556,Medium,7.85674201310973E-05,"POLYGON ((24.078 35.489, 24.064 35.491, 24.063 35.492, 24.063 35.493, 24.068 35.494, 24.078 35.493, 24.078 35.489))"
7,Port of Kali Limenes,34.9291666666667,24.8036111111111,Small,0.000948683298043,"POLYGON ((24.805 34.928, 24.804 34.931, 24.809 34.931, 24.808 34.928, 24.805 34.928))"
8,Port of Mitylene,39.1002777777778,26.5588888888889,Small,0.000443605530092,"POLYGON ((26.557 39.1, 26.556 39.105, 26.563 39.103, 26.562 39.102, 26.557 39.1))"
11,Port of Ayios Nikolaos,35.1888888888889,25.7180555555556,Small,0.001888888888885,"POLYGON ((25.718 35.183, 25.717 35.184, 25.717 35.186, 25.718 35.187, 25.719 35.187, 25.719 35.186, 25.718 35.183))"
12,Port of Leros Island,37.1288888888889,26.8530555555556,Small,0,"POLYGON ((26.853 37.127, 26.849 37.128, 26.85 37.13, 26.855 37.13, 26.853 37.127))"
14,Port of Perama,37.995,23.5666666666667,Small,0,"POLYGON ((23.568 37.993, 23.559 37.995, 23.554 37.997, 23.563 37.998, 23.566 37.998, 23.568 37.993))"
15,Port of Adamas,36.7233333333333,24.445,Small,0,"POLYGON ((24.456 36.71, 24.444 36.717, 24.444 36.724, 24.448 36.724, 24.451 36.722, 24.457 36.712, 24.456 36.71))"
16,Port of Kavonisi-Kissamos,35.5158333333333,23.6369444444444,Small,0,"POLYGON ((23.641 35.514, 23.638 35.515, 23.636 35.516, 23.636 35.517, 23.639 35.517, 23.64 35.516, 23.641 35.514))"
17,Port of Tinos,37.535,25.1586111111111,Small,0.001387888528634,"POLYGON ((25.16 37.536, 25.154 37.538, 25.153 37.539, 25.155 37.539, 25.162 37.538, 25.162 37.537, 25.161 37.536, 25.16 37.536))"
19,Port of Skaramanga,38.0058333333333,23.59,Small,0.00080689776976,"POLYGON ((23.589 38.003, 23.589 38.004, 23.594 38.008, 23.597 38.009, 23.596 38.006, 23.59 38.003, 23.589 38.003))"
20,Megara Oil Terminal,37.9688888888889,23.4033333333333,Small,0.000105409255341,"POLYGON ((23.4 37.958, 23.4 37.967, 23.401 37.968, 23.404 37.969, 23.405 37.968, 23.406 37.958, 23.4 37.958))"
22,Port of Rafina,38.0227777777778,24.0102777777778,Small,0.00099380799,"POLYGON ((24.011 38.022, 24.012 38.024, 24.015 38.025, 24.012 38.022, 24.011 38.022))"
